doc_id,category,filename,title,title_removal_mode,removed_title_text,retained_first_line_body,sentence_count,avg_sentence_len,median_sentence_len
553,03_3人际沟通,2016_12_22 没想到，我成了男朋友的妈 conv.txt,2016_12_22 没想到，我成了男朋友的妈,date_header_standalone_line,没想到，我成了男朋友的妈 原创：咪蒙 咪蒙 2016-12-22,,105,24.54,23.0
554,03_3人际沟通,2016_12_27 _我怕死。因为我死了，我妈会疯_ conv.txt,2016_12_27 _我怕死。因为我死了，我妈会疯_,date_header_standalone_line,“我怕死。因为我死了，我妈会疯” 原创：咪蒙 咪蒙 2016-12-27,,139,21.64,16.0
555,03_3人际沟通,2016_12_29 爸妈虐狗，我选择离家出走 conv.txt,2016_12_29 爸妈虐狗，我选择离家出走,date_header_standalone_line,爸妈虐狗，我选择离家出走 原创：咪蒙 咪蒙 2016-12-29,,72,23.75,20.0
556,03_3人际沟通,2016_12_31 年底了，是时候拿出5万块钱数数了！ conv.txt,2016_12_31 年底了，是时候拿出5万块钱数数了！,date_header_standalone_line,年底了，是时候拿出5万块钱数数了！ 原创：咪蒙 咪蒙 2016-12-31,,110,22.98,21.0
557,03_3人际沟通,2017_01_16 没教养，比没文化更可怕 conv.txt,2017_01_16 没教养，比没文化更可怕,date_header_standalone_line,没教养，比没文化更可怕 原创：咪蒙 咪蒙 2017-01-16,,75,22.85,21.0
558,03_3人际沟通,2017_01_18 最好笑的点开全文，专治各种不开心！ conv.txt,2017_01_18 最好笑的点开全文，专治各种不开心！,date_header_standalone_line,最好笑的点开全文，专治各种不开心！ 咪蒙 2017-01-18,,49,35.04,26.0
559,03_3人际沟通,2017_01_23 只有一个人，可以解决婆媳矛盾 conv.txt,2017_01_23 只有一个人，可以解决婆媳矛盾,date_header_standalone_line,只有一个人，可以解决婆媳矛盾 原创：咪蒙 咪蒙 2017-01-23,,93,28.04,22.0
560,03_3人际沟通,2017_01_25 去，你的春运！ conv.txt,2017_01_25 去，你的春运！,date_header_standalone_line,去，你的春运！ 原创：咪蒙 咪蒙 2017-01-25,,90,21.54,19.0
561,03_3人际沟通,2017_01_30 别逼婚了，我觉得没人配得上我！ conv.txt,2017_01_30 别逼婚了，我觉得没人配得上我！,date_header_standalone_line,别逼婚了，我觉得没人配得上我！ 原创：咪蒙 咪蒙 2017-01-30,,73,26.55,23.0
562,03_3人际沟通,2017_02_03 感谢春运，我捡了个男朋友 conv.txt,2017_02_03 感谢春运，我捡了个男朋友,date_header_standalone_line,感谢春运，我捡了个男朋友 原创：张静思+咪蒙 咪蒙 2017-02-03,,132,24.95,20.0
563,03_3人际沟通,2017_03_01 我只想让人生，有一点点不平凡 conv.txt,2017_03_01 我只想让人生，有一点点不平凡,date_header_standalone_line,我只想让人生，有一点点不平凡 原创：咪蒙 咪蒙 2017-03-01,,91,29.4,26.0
564,03_3人际沟通,2017_03_09 幽默，是最高级的情商 conv.txt,2017_03_09 幽默，是最高级的情商,date_header_standalone_line,幽默，是最高级的情商 原创：咪蒙 咪蒙 2017-03-09,,102,24.9,24.0
565,03_3人际沟通,2017_03_16 咪蒙：说来惭愧，我的助理月薪才5万 conv.txt,2017_03_16 咪蒙：说来惭愧，我的助理月薪才5万,date_header_standalone_line,咪蒙：说来惭愧，我的助理月薪才5万 原创：咪蒙 咪蒙 2017-03-16,,107,26.79,23.0
566,03_3人际沟通,2017_03_17 喜欢你，失去你，活成你 conv.txt,2017_03_17 喜欢你，失去你，活成你,date_header_standalone_line,喜欢你，失去你，活成你 原创：李野 咪蒙 2017-03-17,,110,20.22,18.0
567,03_3人际沟通,2017_03_21 你随便批评，反正老子不听 conv.txt,2017_03_21 你随便批评，反正老子不听,date_header_standalone_line,你随便批评，反正老子不听 原创：咪蒙 咪蒙 2017-03-21,,83,26.69,23.0
569,03_3人际沟通,2017_04_01 今天4月1日，我却想说件严肃的事 conv.txt,2017_04_01 今天4月1日，我却想说件严肃的事,date_header_with_inline_body,今天4月1日,，我却想说件严肃的事 咪蒙 咪蒙 2017-04-01明 天 4 月 2 日。,1,38.0,38.0
570,03_3人际沟通,2017_04_01 张国荣，我并不是只有今天才想你 conv.txt,2017_04_01 张国荣，我并不是只有今天才想你,date_header_standalone_line,张国荣，我并不是只有今天才想你 原创：杨乐多 咪蒙 2017-04-01,,89,18.49,17.0
571,03_3人际沟通,2017_04_04 我还在长大，你却再也不会老了 conv.txt,2017_04_04 我还在长大，你却再也不会老了,date_header_standalone_line,我还在长大，你却再也不会老了 原创：咪蒙 咪蒙 2017-04-04,,92,23.55,21.5
572,03_3人际沟通,2017_04_06 老子买不起房，但买得起家 conv.txt,2017_04_06 老子买不起房，但买得起家,date_header_standalone_line,老子买不起房，但买得起家 原创：咪蒙 咪蒙 2017-04-06,,101,25.31,22.0
573,03_3人际沟通,2017_04_10 我很久很久很久没有交过新朋友了 conv.txt,2017_04_10 我很久很久很久没有交过新朋友了,date_header_standalone_line,我很久很久很久没有交过新朋友了 原创：咪蒙 咪蒙 2017-04-10,,65,29.05,26.0
574,03_3人际沟通,2017_04_11 世界那么大，你只在朋友圈看 conv.txt,2017_04_11 世界那么大，你只在朋友圈看,date_header_standalone_line,世界那么大，你只在朋友圈看 原创：咪蒙 咪蒙 2017-04-11,,82,25.4,22.0
